PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,California,2012,34,X,1.88368,X,X,X,X,X,X,411,73,21819
States,California,2012,35,X,2.0159,X,X,X,X,X,X,525,74,26043
States,California,2012,36,X,2.3227,X,X,X,X,X,X,543,76,23378
States,California,2012,37,X,2.2445,X,X,X,X,X,X,627,75,27935
States,California,2012,38,X,2.43955,X,X,X,X,X,X,678,73,27792
States,California,2012,39,X,2.40973,X,X,X,X,X,X,656,69,27223
States,California,2012,40,X,2.10133,X,X,X,X,X,X,720,123,34264
States,California,2012,41,X,2.26502,X,X,X,X,X,X,781,123,34481
States,California,2012,42,X,2.35697,X,X,X,X,X,X,840,126,35639
States,California,2012,43,X,2.37177,X,X,X,X,X,X,812,122,34236
States,California,2012,44,X,2.45736,X,X,X,X,X,X,853,119,34712
States,California,2012,45,X,2.56157,X,X,X,X,X,X,909,120,35486
States,California,2012,46,X,2.51209,X,X,X,X,X,X,857,123,34115
States,California,2012,47,X,2.73042,X,X,X,X,X,X,639,123,23403
States,California,2012,48,X,2.56313,X,X,X,X,X,X,946,129,36908
States,California,2012,49,X,2.45937,X,X,X,X,X,X,905,128,36798
States,California,2012,50,X,2.70899,X,X,X,X,X,X,920,126,33961
States,California,2012,51,X,3.37338,X,X,X,X,X,X,1025,117,30385
States,California,2012,52,X,5.49621,X,X,X,X,X,X,957,110,17412
States,California,2013,1,X,3.62306,X,X,X,X,X,X,812,123,22412
States,California,2013,2,X,3.7083,X,X,X,X,X,X,1255,125,33843
States,California,2013,3,X,4.98923,X,X,X,X,X,X,1783,126,35737
States,California,2013,4,X,5.83965,X,X,X,X,X,X,2043,124,34985
States,California,2013,5,X,6.10146,X,X,X,X,X,X,2349,126,38499
States,California,2013,6,X,5.4357,X,X,X,X,X,X,1993,115,36665
States,California,2013,7,X,4.86921,X,X,X,X,X,X,1746,120,35858
States,California,2013,8,X,4.14831,X,X,X,X,X,X,1365,123,32905
States,California,2013,9,X,3.70949,X,X,X,X,X,X,1354,123,36501
States,California,2013,10,X,3.98337,X,X,X,X,X,X,1399,121,35121
States,California,2013,11,X,3.45064,X,X,X,X,X,X,1159,115,33588
States,California,2013,12,X,3.237,X,X,X,X,X,X,1017,116,31418
States,California,2013,13,X,2.96289,X,X,X,X,X,X,871,117,29397
States,California,2013,14,X,2.50403,X,X,X,X,X,X,715,108,28554
States,California,2013,15,X,1.97829,X,X,X,X,X,X,687,109,34727
States,California,2013,16,X,1.82625,X,X,X,X,X,X,609,106,33347
States,California,2013,17,X,1.7337,X,X,X,X,X,X,600,111,34608
States,California,2013,18,X,1.6856,X,X,X,X,X,X,561,106,33282
States,California,2013,19,X,1.62542,X,X,X,X,X,X,528,107,32484
States,California,2013,20,X,1.69397,X,X,X,X,X,X,545,100,32173
States,California,2013,21,X,1.59179,X,X,X,X,X,X,495,96,31097
States,California,2013,22,X,1.52385,X,X,X,X,X,X,390,98,25593
States,California,2013,23,X,1.54648,X,X,X,X,X,X,454,98,29357
States,California,2013,24,X,1.58567,X,X,X,X,X,X,433,92,27307
States,California,2013,25,X,1.59109,X,X,X,X,X,X,407,90,25580
States,California,2013,26,X,1.41541,X,X,X,X,X,X,355,89,25081
States,California,2013,27,X,1.43255,X,X,X,X,X,X,288,91,20104
States,California,2013,28,X,1.25056,X,X,X,X,X,X,334,92,26708
States,California,2013,29,X,1.30391,X,X,X,X,X,X,325,88,24925
States,California,2013,30,X,1.3224,X,X,X,X,X,X,324,85,24501
States,California,2013,31,X,1.22818,X,X,X,X,X,X,299,82,24345
States,California,2013,32,X,1.32131,X,X,X,X,X,X,299,78,22629
States,California,2013,33,X,1.21946,X,X,X,X,X,X,285,75,23371
States,California,2013,34,X,1.19376,X,X,X,X,X,X,294,73,24628
States,California,2013,35,X,1.53035,X,X,X,X,X,X,389,75,25419
States,California,2013,36,X,1.63164,X,X,X,X,X,X,354,76,21696
States,California,2013,37,X,1.70543,X,X,X,X,X,X,440,75,25800
States,California,2013,38,X,1.67839,X,X,X,X,X,X,451,77,26871
States,California,2013,39,X,1.94581,X,X,X,X,X,X,530,80,27238
States,California,2013,40,X,1.52479,X,X,X,X,X,X,633,137,41514
States,California,2013,41,X,1.75269,X,X,X,X,X,X,744,137,42449
States,California,2013,42,X,1.74662,X,X,X,X,X,X,687,133,39333
States,California,2013,43,X,1.77965,X,X,X,X,X,X,744,133,41806
States,California,2013,44,X,1.99307,X,X,X,X,X,X,828,139,41544
States,California,2013,45,X,2.29774,X,X,X,X,X,X,977,147,42520
States,California,2013,46,X,2.29161,X,X,X,X,X,X,888,146,38750
States,California,2013,47,X,2.13404,X,X,X,X,X,X,868,138,40674
States,California,2013,48,X,2.59558,X,X,X,X,X,X,702,138,27046
States,California,2013,49,X,2.32553,X,X,X,X,X,X,970,139,41711
States,California,2013,50,X,2.77058,X,X,X,X,X,X,1080,141,38981
States,California,2013,51,X,3.1557,X,X,X,X,X,X,1137,137,36030
States,California,2013,52,X,5.10491,X,X,X,X,X,X,1107,130,21685
States,California,2014,1,X,5.1101,X,X,X,X,X,X,1397,137,27338
States,California,2014,2,X,4.61744,X,X,X,X,X,X,1866,138,40412
States,California,2014,3,X,4.57287,X,X,X,X,X,X,1903,140,41615
States,California,2014,4,X,5.04872,X,X,X,X,X,X,2005,138,39713
States,California,2014,5,X,4.28707,X,X,X,X,X,X,1813,131,42290
States,California,2014,6,X,3.83781,X,X,X,X,X,X,1628,137,42420
States,California,2014,7,X,3.46235,X,X,X,X,X,X,1357,131,39193
States,California,2014,8,X,3.38719,X,X,X,X,X,X,1176,127,34719
States,California,2014,9,X,3.03955,X,X,X,X,X,X,1165,125,38328
States,California,2014,10,X,2.72134,X,X,X,X,X,X,1034,122,37996
States,California,2014,11,X,2.31375,X,X,X,X,X,X,882,119,38120
States,California,2014,12,X,2.39688,X,X,X,X,X,X,892,121,37215
States,California,2014,13,X,1.99261,X,X,X,X,X,X,685,118,34377
States,California,2014,14,X,2.01378,X,X,X,X,X,X,672,116,33370
States,California,2014,15,X,1.84637,X,X,X,X,X,X,655,112,35475
States,California,2014,16,X,1.87291,X,X,X,X,X,X,611,106,32623
States,California,2014,17,X,1.83302,X,X,X,X,X,X,602,98,32842
States,California,2014,18,X,1.69241,X,X,X,X,X,X,562,95,33207
States,California,2014,19,X,1.72803,X,X,X,X,X,X,551,92,31886
States,California,2014,20,X,1.80206,X,X,X,X,X,X,569,88,31575
States,California,2014,21,X,2.0838,X,X,X,X,X,X,563,88,27018
States,California,2014,22,X,1.86448,X,X,X,X,X,X,454,86,24350
States,California,2014,23,X,1.88064,X,X,X,X,X,X,531,88,28235
States,California,2014,24,X,1.80584,X,X,X,X,X,X,508,87,28131
States,California,2014,25,X,1.77155,X,X,X,X,X,X,458,84,25853
States,California,2014,26,X,1.76479,X,X,X,X,X,X,473,84,26802
States,California,2014,27,X,1.80666,X,X,X,X,X,X,405,86,22417
States,California,2014,28,X,1.49365,X,X,X,X,X,X,402,89,26914
States,California,2014,29,X,1.48858,X,X,X,X,X,X,382,83,25662
States,California,2014,30,X,1.26523,X,X,X,X,X,X,325,85,25687
States,California,2014,31,X,1.27847,X,X,X,X,X,X,339,87,26516
States,California,2014,32,X,1.05709,X,X,X,X,X,X,267,85,25258
States,California,2014,33,X,1.05714,X,X,X,X,X,X,242,74,22892
States,California,2014,34,X,1.20447,X,X,X,X,X,X,291,72,24160
States,California,2014,35,X,1.31574,X,X,X,X,X,X,357,76,27133
States,California,2014,36,X,1.58283,X,X,X,X,X,X,348,70,21986
States,California,2014,37,X,1.87174,X,X,X,X,X,X,481,67,25698
States,California,2014,38,X,1.86948,X,X,X,X,X,X,487,68,26050
States,California,2014,39,X,1.78656,X,X,X,X,X,X,453,66,25356
States,California,2014,40,X,1.9089,X,X,X,X,X,X,831,129,43533
States,California,2014,41,X,2.01872,X,X,X,X,X,X,936,136,46366
States,California,2014,42,X,1.88158,X,X,X,X,X,X,886,139,47088
States,California,2014,43,X,1.84197,X,X,X,X,X,X,873,147,47395
States,California,2014,44,X,1.88603,X,X,X,X,X,X,844,154,44750
States,California,2014,45,X,2.22964,X,X,X,X,X,X,1048,157,47003
States,California,2014,46,X,2.21797,X,X,X,X,X,X,858,141,38684
States,California,2014,47,X,2.48984,X,X,X,X,X,X,1176,160,47232
States,California,2014,48,X,2.72718,X,X,X,X,X,X,840,159,30801
States,California,2014,49,X,2.40936,X,X,X,X,X,X,1129,165,46859
States,California,2014,50,X,2.57737,X,X,X,X,X,X,1151,159,44658
States,California,2014,51,X,2.90369,X,X,X,X,X,X,1171,152,40328
States,California,2014,52,X,4.47729,X,X,X,X,X,X,1048,151,23407
States,California,2014,53,X,4.77128,X,X,X,X,X,X,1284,152,26911
States,California,2015,1,X,3.99683,X,X,X,X,X,X,1865,157,46662
States,California,2015,2,X,4.33141,X,X,X,X,X,X,2065,152,47675
States,California,2015,3,X,4.88005,X,X,X,X,X,X,2140,152,43852
States,California,2015,4,X,5.01063,X,X,X,X,X,X,2452,155,48936
States,California,2015,5,X,4.505,X,X,X,X,X,X,2192,144,48657
States,California,2015,6,X,4.0094,X,X,X,X,X,X,1774,141,44246
States,California,2015,7,X,3.44632,X,X,X,X,X,X,1396,147,40507
States,California,2015,8,X,3.17311,X,X,X,X,X,X,1488,149,46894
States,California,2015,9,X,3.07302,X,X,X,X,X,X,1369,148,44549
States,California,2015,10,X,3.17645,X,X,X,X,X,X,1472,142,46341
States,California,2015,11,X,2.9528,X,X,X,X,X,X,1278,138,43281
States,California,2015,12,X,2.65624,X,X,X,X,X,X,1097,137,41299
States,California,2015,13,X,2.655,X,X,X,X,X,X,1050,138,39548
States,California,2015,14,X,2.39851,X,X,X,X,X,X,950,139,39608
States,California,2015,15,X,2.11801,X,X,X,X,X,X,906,139,42776
States,California,2015,16,X,2.13528,X,X,X,X,X,X,858,125,40182
States,California,2015,17,X,2.14816,X,X,X,X,X,X,912,129,42455
States,California,2015,18,X,2.22859,X,X,X,X,X,X,910,125,40833
States,California,2015,19,X,2.26505,X,X,X,X,X,X,905,125,39955
States,California,2015,20,X,2.10943,X,X,X,X,X,X,768,123,36408
States,California,2015,21,X,2.07654,X,X,X,X,X,X,643,120,30965
States,California,2015,22,X,2.17739,X,X,X,X,X,X,680,98,31230
States,California,2015,23,X,1.96065,X,X,X,X,X,X,576,100,29378
States,California,2015,24,X,1.86878,X,X,X,X,X,X,507,99,27130
States,California,2015,25,X,1.65902,X,X,X,X,X,X,459,97,27667
States,California,2015,26,X,1.64078,X,X,X,X,X,X,393,97,23952
States,California,2015,27,X,1.4891,X,X,X,X,X,X,420,96,28205
States,California,2015,28,X,1.27019,X,X,X,X,X,X,339,94,26689
States,California,2015,29,X,1.07618,X,X,X,X,X,X,293,96,27226
States,California,2015,30,X,1.07527,X,X,X,X,X,X,282,90,26226
States,California,2015,31,X,1.06028,X,X,X,X,X,X,283,93,26691
States,California,2015,32,X,1.22321,X,X,X,X,X,X,351,103,28695
States,California,2015,33,X,1.15595,X,X,X,X,X,X,350,98,30278
States,California,2015,34,X,1.30353,X,X,X,X,X,X,431,99,33064
States,California,2015,35,X,1.26281,X,X,X,X,X,X,419,97,33180
States,California,2015,36,X,0.909243,X,X,X,X,X,X,218,95,23976
States,California,2015,37,X,1.4079,X,X,X,X,X,X,471,100,33454
States,California,2015,38,X,1.34636,X,X,X,X,X,X,463,97,34389
States,California,2015,39,X,1.21246,X,X,X,X,X,X,348,87,28702
States,California,2015,40,X,1.38064,X,X,X,X,X,X,558,125,40416
States,California,2015,41,X,1.5661,X,X,X,X,X,X,653,138,41696
States,California,2015,42,X,1.50411,X,X,X,X,X,X,677,140,45010
States,California,2015,43,X,1.61772,X,X,X,X,X,X,715,151,44198
States,California,2015,44,X,1.73589,X,X,X,X,X,X,800,157,46086
States,California,2015,45,X,1.80813,X,X,X,X,X,X,782,156,43249
States,California,2015,46,X,2.14097,X,X,X,X,X,X,996,157,46521
States,California,2015,47,X,2.39866,X,X,X,X,X,X,687,153,28641
States,California,2015,48,X,2.02273,X,X,X,X,X,X,936,152,46274
States,California,2015,49,X,2.07101,X,X,X,X,X,X,938,152,45292
States,California,2015,50,X,2.17017,X,X,X,X,X,X,856,149,39444
States,California,2015,51,X,2.91333,X,X,X,X,X,X,723,145,24817
States,California,2015,52,X,3.27722,X,X,X,X,X,X,806,139,24594
States,California,2016,1,X,2.5018,X,X,X,X,X,X,1077,153,43049
States,California,2016,2,X,2.47039,X,X,X,X,X,X,1043,143,42220
States,California,2016,3,X,2.68971,X,X,X,X,X,X,1097,138,40785
States,California,2016,4,X,2.83328,X,X,X,X,X,X,1347,148,47542
States,California,2016,5,X,3.28407,X,X,X,X,X,X,1600,152,48720
States,California,2016,6,X,3.91439,X,X,X,X,X,X,1882,146,48079
States,California,2016,7,X,4.39619,X,X,X,X,X,X,1893,139,43060
States,California,2016,8,X,3.73143,X,X,X,X,X,X,1859,147,49820
States,California,2016,9,X,3.63724,X,X,X,X,X,X,1804,148,49598
States,California,2016,10,X,3.69442,X,X,X,X,X,X,1636,129,44283
States,California,2016,11,X,3.19283,X,X,X,X,X,X,1293,125,40497
States,California,2016,12,X,2.99262,X,X,X,X,X,X,1201,139,40132
States,California,2016,13,X,2.80927,X,X,X,X,X,X,1053,131,37483
States,California,2016,14,X,2.11652,X,X,X,X,X,X,938,139,44318
States,California,2016,15,X,1.92403,X,X,X,X,X,X,855,133,44438
States,California,2016,16,X,1.62852,X,X,X,X,X,X,710,128,43598
States,California,2016,17,X,1.73597,X,X,X,X,X,X,711,123,40957
States,California,2016,18,X,1.84902,X,X,X,X,X,X,726,115,39264
States,California,2016,19,X,1.53059,X,X,X,X,X,X,586,109,38286
States,California,2016,20,X,1.48681,X,X,X,X,X,X,527,102,35445
States,California,2016,21,X,1.44399,X,X,X,X,X,X,515,99,35665
States,California,2016,22,X,1.37865,X,X,X,X,X,X,417,105,30247
States,California,2016,23,X,1.36671,X,X,X,X,X,X,440,97,32194
States,California,2016,24,X,1.2644,X,X,X,X,X,X,395,102,31240
States,California,2016,25,X,1.15867,X,X,X,X,X,X,376,100,32451
States,California,2016,26,X,1.21986,X,X,X,X,X,X,381,96,31233
States,California,2016,27,X,1.14608,X,X,X,X,X,X,299,97,26089
States,California,2016,28,X,1.04573,X,X,X,X,X,X,324,98,30983
States,California,2016,29,X,0.904141,X,X,X,X,X,X,269,96,29752
States,California,2016,30,X,0.856349,X,X,X,X,X,X,262,96,30595
States,California,2016,31,X,0.85127,X,X,X,X,X,X,246,82,28898
States,California,2016,32,X,0.896093,X,X,X,X,X,X,267,83,29796
States,California,2016,33,X,1.00994,X,X,X,X,X,X,310,83,30695
States,California,2016,34,X,1.04709,X,X,X,X,X,X,342,81,32662
States,California,2016,35,X,1.30993,X,X,X,X,X,X,447,82,34124
States,California,2016,36,X,1.36273,X,X,X,X,X,X,398,81,29206
States,California,2016,37,X,1.71708,X,X,X,X,X,X,604,86,35176
States,California,2016,38,X,1.78398,X,X,X,X,X,X,624,88,34978
States,California,2016,39,X,1.65703,X,X,X,X,X,X,636,95,38382
States,California,2016,40,X,1.25288,X,X,X,X,X,X,668,129,53317
States,California,2016,41,X,1.39291,X,X,X,X,X,X,760,134,54562
States,California,2016,42,X,1.51631,X,X,X,X,X,X,812,131,53551
States,California,2016,43,X,1.52383,X,X,X,X,X,X,833,130,54665
States,California,2016,44,X,1.57619,X,X,X,X,X,X,849,132,53864
States,California,2016,45,X,1.74694,X,X,X,X,X,X,942,136,53923
States,California,2016,46,X,1.7768,X,X,X,X,X,X,993,133,55887
States,California,2016,47,X,2.14459,X,X,X,X,X,X,865,133,40334
States,California,2016,48,X,2.00773,X,X,X,X,X,X,1091,132,54340
States,California,2016,49,X,2.07484,X,X,X,X,X,X,1114,133,53691
States,California,2016,50,X,2.37525,X,X,X,X,X,X,1190,124,50100
States,California,2016,51,X,2.87829,X,X,X,X,X,X,1233,122,42838
States,California,2016,52,X,3.52608,X,X,X,X,X,X,1419,128,40243
States,California,2017,1,X,3.2667,X,X,X,X,X,X,1559,133,47724
States,California,2017,2,X,2.9995,X,X,X,X,X,X,1490,129,49675
States,California,2017,3,X,2.77799,X,X,X,X,X,X,1441,129,51872
States,California,2017,4,X,3.11572,X,X,X,X,X,X,1700,129,54562
States,California,2017,5,X,3.19202,X,X,X,X,X,X,1667,121,52224
States,California,2017,6,X,2.69419,X,X,X,X,X,X,1395,118,51778
States,California,2017,7,X,2.52341,X,X,X,X,X,X,1245,113,49338
States,California,2017,8,X,2.38854,X,X,X,X,X,X,1080,107,45216
States,California,2017,9,X,2.14593,X,X,X,X,X,X,1082,112,50421
States,California,2017,10,X,2.17089,X,X,X,X,X,X,1091,111,50256
States,California,2017,11,X,2.33598,X,X,X,X,X,X,1155,112,49444
States,California,2017,12,X,1.95979,X,X,X,X,X,X,925,104,47199
States,California,2017,13,X,1.96521,X,X,X,X,X,X,845,102,42998
States,California,2017,14,X,1.73982,X,X,X,X,X,X,809,104,46499
States,California,2017,15,X,1.59589,X,X,X,X,X,X,746,103,46745
States,California,2017,16,X,1.62994,X,X,X,X,X,X,776,103,47609
States,California,2017,17,X,1.6618,X,X,X,X,X,X,797,103,47960
States,California,2017,18,X,1.46371,X,X,X,X,X,X,660,92,45091
States,California,2017,19,X,1.43326,X,X,X,X,X,X,629,95,43886
States,California,2017,20,X,1.4245,X,X,X,X,X,X,640,96,44928
States,California,2017,21,X,1.39117,X,X,X,X,X,X,551,85,39607
States,California,2017,22,X,1.39993,X,X,X,X,X,X,449,75,32073
States,California,2017,23,X,1.6159,X,X,X,X,X,X,608,81,37626
States,California,2017,24,X,1.2838,X,X,X,X,X,X,470,75,36610
States,California,2017,25,X,1.25237,X,X,X,X,X,X,463,77,36970
States,California,2017,26,X,1.39657,X,X,X,X,X,X,470,75,33654
States,California,2017,27,X,1.31237,X,X,X,X,X,X,369,74,28117
States,California,2017,28,X,1.12425,X,X,X,X,X,X,366,73,32555
States,California,2017,29,X,1.09387,X,X,X,X,X,X,397,72,36293
States,California,2017,30,X,0.979101,X,X,X,X,X,X,342,67,34930
States,California,2017,31,X,0.853916,X,X,X,X,X,X,307,69,35952
States,California,2017,32,X,0.936918,X,X,X,X,X,X,337,70,35969
States,California,2017,33,X,1.01272,X,X,X,X,X,X,340,68,33573
States,California,2017,34,X,1.13787,X,X,X,X,X,X,439,70,38581
States,California,2017,35,X,1.19891,X,X,X,X,X,X,506,72,42205
States,California,2017,36,X,1.28088,X,X,X,X,X,X,490,74,38255
States,California,2017,37,X,1.547,X,X,X,X,X,X,652,78,42146
States,California,2017,38,X,1.52105,X,X,X,X,X,X,621,71,40827
States,California,2017,39,X,1.55626,X,X,X,X,X,X,659,72,42345
States,California,2017,40,X,1.75421,X,X,X,X,X,X,852,102,48569
States,California,2017,41,X,1.53534,X,X,X,X,X,X,733,106,47742
States,California,2017,42,X,1.56714,X,X,X,X,X,X,823,117,52516
States,California,2017,43,X,1.72325,X,X,X,X,X,X,906,118,52575
States,California,2017,44,X,1.98355,X,X,X,X,X,X,948,120,47793
States,California,2017,45,X,1.90851,X,X,X,X,X,X,950,124,49777
States,California,2017,46,X,1.99801,X,X,X,X,X,X,1024,126,51251
States,California,2017,47,X,2.2189,X,X,X,X,X,X,817,120,36820
States,California,2017,48,X,1.94918,X,X,X,X,X,X,988,124,50688
States,California,2017,49,X,2.49813,X,X,X,X,X,X,1236,128,49477
States,California,2017,50,X,3.39179,X,X,X,X,X,X,1671,122,49266
States,California,2017,51,X,4.58891,X,X,X,X,X,X,2069,117,45087
States,California,2017,52,X,6.84245,X,X,X,X,X,X,2512,118,36712
States,California,2018,1,X,6.66513,X,X,X,X,X,X,2310,118,34658
States,California,2018,2,X,4.69123,X,X,X,X,X,X,2361,123,50328
States,California,2018,3,X,3.93592,X,X,X,X,X,X,1963,124,49874
States,California,2018,4,X,3.89779,X,X,X,X,X,X,2038,122,52286
States,California,2018,5,X,4.25872,X,X,X,X,X,X,2369,121,55627
States,California,2018,6,X,3.81901,X,X,X,X,X,X,2116,121,55407
States,California,2018,7,X,3.71403,X,X,X,X,X,X,1879,112,50592
States,California,2018,8,X,3.51102,X,X,X,X,X,X,1619,119,46112
